M,n,nu,connected_mod_M,E0,gap_above_sampled_ground_space,sampled_degeneracy,electronic_twist_curvature,rho_full,predicted_from_one_pair,ratio,defect
5,1,0.2,True,4.9971090822779036e-17,0.17274575140626308,1,4.000000000048863,1.0,4.000000000048863,1.0,0.0
5,2,0.4,True,-1.1747884590649629e-17,0.1727457514062632,1,6.000000000608629,1.5,6.000000000073294,1.0000000000892224,5.353344434411156e-10
6,1,0.16666666666666666,False,-7.123957626550499e-17,0.25000000000000006,2,4.0000000006737215,1.0,4.0000000006737215,1.0,0.0
6,2,0.3333333333333333,False,2.7755575615631773e-17,0.24999999999999936,3,4.0000000002845235,1.6,6.400000001077955,0.6249999999391878,-2.4000000007934315
6,3,0.5,False,-1.9318268708673766e-16,0.24999999999999994,4,-3.1858254423659725e-10,1.8,7.200000001212699,-4.424757558096365e-11,-7.200000001531281
8,1,0.125,False,2.7078379457122962e-17,0.2499999999999998,2,3.999999999604649,1.0,3.999999999604649,1.0,0.0
8,2,0.25,False,-1.8571240123649487e-16,0.24999999999999975,3,5.333333333727143,1.7142857142857142,6.857142856465113,0.7777777779120822,-1.5238095227379693
