M,t,noise_energy,sqrt_t_times_energy,energy_over_q2,scaled_by_min_profile
15,0.0002,0.38367713469428766,0.0054260140745711035,0.7830145606005872,0.20217349020293282
15,0.00024025846567915957,0.38343045480256943,0.005943276758169378,0.7825111322501418,0.20204350556178058
15,0.0002886206516525192,0.3831344217873489,0.006509009019333359,0.7819069832394877,0.20188751495798785
15,0.0003467177746467672,0.38277923435652583,0.007127486816534752,0.7811821109316854,0.20170035373290485
15,0.00041650940280162405,0.382353176875729,0.00780327851517027,0.7803126058688348,0.20147584849104727
15,0.0005003495502903061,0.3818422596919955,0.008541236520729453,0.7792699177387664,0.20120662757351107
15,0.0006010660762800316,0.38122979821743486,0.009346477136394042,0.778019996362112,0.20088389926178768
15,0.0007220560662941654,0.3804959232365663,0.01022434436455907,0.7765222923195231,0.20049719374082137
15,0.0008674004131108275,0.37961701539548487,0.011180352146417542,0.7747286028479284,0.20003406511070446
15,0.001042001461917383,0.37856505823678543,0.012220098034252716,0.7725817515036438,0.19947975047715796
15,0.001251748362378558,0.3773069069477951,0.013349139496015574,0.7700140958118269,0.19881678462827784
15,0.0015037157048073632,0.37580347487140936,0.014572821967004561,0.766945867084509,0.19802457137739404
15,0.0018064021402733653,0.3740088477167951,0.015896045446907023,0.763283362687337,0.19707891680835013
15,0.0021700170331081414,0.3718693475340653,0.017322954040897873,0.7589170357838069,0.19595153604958548
15,0.0026068248143610202,0.3693225864627814,0.018856530659161496,0.753719564209758,0.19460955465967364
15,0.003131558650963693,0.3662965759591931,0.020498077652300762,0.747544032569782,0.19301503924663335
15,0.003761917383324174,0.3627089928429077,0.02224656435220564,0.7402224343732811,0.19112461072112202
15,0.004519162492646119,0.3584667512653479,0.024097825686205363,0.7315647985007101,0.188889218750989
15,0.005428835233189814,0.35346609118704175,0.02604360427268714,0.721359369769473,0.1862541883831898
15,0.006521618117755736,0.347593469068954,0.02807044452198347,0.7093744266713348,0.1831596893815676
15,0.007834369813586999,0.3407276215828694,0.030158474906562784,0.6953624930262642,0.17954182367119947
15,0.00941136835487768,0.33274325807134486,0.03228015791196122,0.6790678736149895,0.17533457103035585
15,0.01130580460442153,0.3235169014009315,0.034399150054173676,0.6602385742876153,0.17047286684931084
15,0.013581576337633463,0.31293540305294987,0.036469498232581526,0.6386436796998978,0.16489708904255518
15,0.016315443461920966,0.3009075492842541,0.03843549910095465,0.6140970393556208,0.15855917375863998
15,0.019599617065181024,0.28737887114352495,0.040232648931830935,0.5864874921296428,0.15143041931847068
15,0.02354486961989732,0.2723491780986201,0.04179017732196599,0.5558146491808574,0.14351072532370523
15,0.028284271247461905,0.25589137300891884,0.0430356276515102,0.5222272918549364,0.1348385069526113
15,0.03397767806384183,0.2381687694840411,0.04390173272380432,0.48605871323273697,0.12549982010862645
15,0.04081712399479533,0.2194465899984185,0.04433533935879872,0.44785018367024193,0.11563442019671866
15,0.04903329792212767,0.20009204159755578,0.044307308353227645,0.4083511053011343,0.10543580201577896
15,0.05890332462979752,0.18055719137341641,0.043821243227782754,0.3684840640273805,0.09514217622139147
15,0.070760111994783,0.16134091082759658,0.0429179293165035,0.32926716495427877,0.08758761085000714
15,0.08500357969576029,0.1429313129956656,0.041672157981567697,0.2916965571340115,0.08504522037054632
15,0.10211414817469754,0.12573805200105964,0.04017997731177654,0.25660826938991765,0.08199995369750315
15,0.1226689428229359,0.11003197813067869,0.038537739071789444,0.22455505740954837,0.07864844708528458
15,0.1473612599456155,0.09591293028884207,0.036818731563908975,0.1957406740588614,0.07514026849777343
15,0.17702395107540686,0.08331985257733376,0.0350561733455725,0.17004051546394647,0.07154321090933163
15,0.21265751436919905,0.07208072084834327,0.033239883107657006,0.14710351193539445,0.06783649613807553
15,0.25546384058743793,0.061981252265170546,0.03132745140182217,0.12649235156157257,0.06393357428943301
15,0.3068867518802159,0.05282420925313332,0.02926321748073938,0.10780450867986392,0.059720852001508944
15,0.36866070072000806,0.04446159559010862,0.026995940747362904,0.09073795018389516,0.055093756627271236
15,0.44286927155596484,0.0368012156275912,0.02449062895404254,0.07510452168896165,0.049980875416413356
15,0.5320154584024153,0.02980069933672572,0.02173644825158006,0.06081775374841984,0.04436009847261237
15,0.6391060887667952,0.02345985356931291,0.018754771383886617,0.04787725218227125,0.038275043640584934
15,0.767753241466594,0.017813563684036096,0.01560851694087076,0.03635421160007367,0.03185411620585869
15,0.9222960790748258,0.012921473768619041,0.012409298500061292,0.02637035462983478,0.02532509897971693
15,1.1079472043021112,0.008849747307618925,0.009315161808252963,0.018060708791059032,0.019010534302557072
15,1.3309684767956977,0.00564365307312819,0.006510947503487983,0.011517659332914676,0.013287647966302007
15,1.598882220511312,0.003296865517505133,0.004168784724517043,0.006728296974500272,0.008507723927585802
15,1.9207249455086755,0.0017308892672774918,0.0023988432669209995,0.0035324270760765143,0.004895598503920407
15,2.3073521419980083,0.0007986644727488336,0.0012131690054095336,0.001629927495405783,0.002475855113080681
15,2.771804427089819,0.00031544734164042526,0.0005251799818977835,0.0006437700849804598,0.0010717958814240483
15,3.329747394076502,0.00010334764220166633,0.00018858459647600457,0.00021091355551360478,0.0003848665234204175
15,4.0,2.7047442027063122e-05,5.4094884054126245e-05,5.519886127972066e-05,0.00011039772255944132
31,0.0002,0.5451091221757993,0.007709007135543079,1.1124675962771415,0.1998050786243563
31,0.00024025846567915957,0.5444096418906663,0.008438498118878243,1.111040085491156,0.19954869011849288
31,0.0002886206516525192,0.5435711073630556,0.009234642045393947,1.1093287905368483,0.19924133247136758
31,0.0003467177746467672,0.5425662951523477,0.010102779275096618,1.1072781533721383,0.1988730271640525
31,0.00041650940280162405,0.5413628371623636,0.011048437025315192,1.1048221166578849,0.19843190994820017
31,0.0005003495502903061,0.539922330187387,0.012077249722630762,1.1018823065048715,0.19790390445776684
31,0.0006010660762800316,0.5381993280599902,0.013194843997127201,1.0983659756326332,0.19727235278943236
31,0.0007220560662941654,0.5361402184070235,0.014406677932460229,1.094163711034742,0.1965176037871317
31,0.0008674004131108275,0.533681996532626,0.01571782194541987,1.089146931699237,0.19561656361937665
31,0.001042001461917383,0.5307509651831347,0.017132666328267914,1.083165235067622,0.1945422191892229
31,0.001251748362378558,0.5272614130668499,0.018654538319568918,1.0760437001364285,0.19326315375701167
31,0.0015037157048073632,0.523114359657654,0.02028521006699864,1.067580325831947,0.1917430868588896
31,0.0018064021402733653,0.5181965020526954,0.022024278830150238,1.0575438817401948,0.18994048828651564
31,0.0021700170331081414,0.5123795645846727,0.023868403533804206,1.0456725807850464,0.18780833969301547
31,0.0026068248143610202,0.5055203359164948,0.02581038924354991,1.0316741549316222,0.1852941481897118
31,0.003131558650963693,0.49746178174722633,0.027838125990133543,1.0152281260147478,0.18234035419895547
