observable,h,variance,sum_doob_quadratic_variation,decomposition_error,L2_distance_to_sharp
sharp,0.0,0.00043279685216452346,0.0004327968521645235,5.421010862427522e-20,0.0
integrated_difference_quotient,0.2,0.00041014393011809866,0.0004101439301180987,5.421010862427522e-20,0.00013045724436192452
integrated_difference_quotient,0.1,0.0004080704186161135,0.0004080704186161138,2.710505431213761e-19,9.714332273939984e-05
integrated_difference_quotient,0.05,0.0003963274366941343,0.0003963274366941345,2.168404344971009e-19,4.8892700504088227e-05
integrated_difference_quotient,0.025,0.000414845844869027,0.00041484584486902744,4.336808689942018e-19,9.367843432141835e-06
