L,N,samples,cutoff_r,log_half_width,direct_log_shell_r_pi,direct_standard_error,leave_one_out_r_pi,leave_one_out_standard_error,relative_discrepancy,mean_crossing_channels
5,25,160,1.3,0.08,0.00025719657269294744,6.31158777189911e-05,0.00019837671836739332,4.1073017504804136e-05,0.22869610473299673,18.08125
5,25,160,2.7,0.08,0.00013506672338409618,1.9798181082023948e-05,0.00017222907787316046,4.8888847954256416e-05,0.21577282389233254,16.3375
5,25,160,4.0,0.08,7.706379620675126e-05,1.3619145401192286e-05,6.798595257576068e-05,1.9096369976954297e-05,0.11779647613823761,6.35625
5,25,160,5.4,0.08,0.0001336565635018068,1.670341568958258e-05,0.00017981909203644287,4.248540871880787e-05,0.2567165033025558,22.64375
