L,N,sample,delta,model,sharp_tail,abel_tail,richardson_tail_k1,m_eff,scaled_cutoff_tau,clean_mode_count,born_mean_formula,born_variance_formula
8,64,9,1.25,exact,0.0018044331714652277,0.0017825513265255378,0.0016392477962901312,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,9,1.25,born,0.0013418620416253888,0.0013821039699072558,0.001382232198193143,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,10,0.625,exact,1.725528157943568e-05,0.00036454272908724173,0.0006700463944131975,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,10,0.625,born,5.647857902868723e-05,0.00026815796941289126,0.0005844348372850578,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,10,1.25,exact,0.0008117140472943809,0.0019262306004061626,0.0018500167272374672,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,10,1.25,born,0.0003687554377441472,0.0016313586852490275,0.0016506380777598284,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,11,0.625,exact,0.0009236860240220196,0.0008813234599101854,0.001253136154605401,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,11,0.625,born,0.001173435893896827,0.000929206699128704,0.001249947191672259,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,11,1.25,exact,0.001895502628104922,0.0034000513978621107,0.0032396499537198074,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,11,1.25,born,0.0022534569468693386,0.0033174720944308092,0.0031772888648300057,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,12,0.625,exact,0.0025670582127078918,0.0020846325405776377,0.0019443929151629017,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,12,0.625,born,0.002247568674024086,0.0018294936532444498,0.0017462116320025223,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,12,1.25,exact,0.00792549665051127,0.005475779399026988,0.0043513621163467865,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,12,1.25,born,0.007312643554043273,0.004873080801249764,0.003953269969405791,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,13,0.625,exact,0.0007664312182534974,0.0006300133089903695,0.0009008922746578876,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,13,0.625,born,0.0007524819560221475,0.0005556874649580953,0.0008150384951246106,40.0,40.0,4,0.002109375,4.366035461425789e-06
