N,a,alpha,eta_N,shell_second_moment,centered_variance,nominal_N_minus_2_scale,holder_rhs_without_constant,shell_to_holder_ratio,r_pi_at_center,r_pi_to_N_minus_2_ratio
16,1.0,0.5,0.2840254166877414,0.0006533551780218204,0.00047851562499999994,0.0019140624999999997,0.001020081138725063,0.6404933423613821,0.003054401834323469,1.5957691216057308
64,1.0,0.5,0.13314845306682632,4.083469862636377e-05,2.9907226562499996e-05,0.00011962890624999998,4.365200483380542e-05,0.935459866776615,0.0003818002292904336,3.1915382432114616
256,1.0,0.5,0.06449445891785932,2.552168664147736e-06,1.8692016601562498e-06,7.476806640624999e-06,1.8987918159469119e-06,1.3441013610409893,4.77250286613042e-05,6.383076486422923
1024,1.0,0.5,0.03174340749910276,1.595105415092335e-07,1.1682510375976561e-07,4.6730041503906244e-07,8.325741811328515e-08,1.9158718240841155,5.965628582663025e-06,12.766152972845846
4096,1.0,0.5,0.015747708586685727,9.969408844327093e-09,7.301568984985351e-09,2.9206275939941402e-08,3.665091900530512e-09,2.7200979170219575,7.457035728328781e-07,25.532305945691693
16384,1.0,0.5,0.007843097206448046,6.230880527704433e-10,4.563480615615844e-10,1.8253922462463377e-09,1.61659041791031e-10,3.8543346902666897,9.321294660410977e-08,51.064611891383386
