N,epsilon,cutoff,positive_mode_count,normalized_mode_count,low_Hminus1_mass,total_Hminus1_mass_spectral,total_Hminus1_mass_network,first_moment,low_mass_to_normalized_count
32,0.5,0.1953125,4,0.125,0.13396611742413264,0.1339745962155592,0.13397459621556151,0.004803679899192389,1.0717289393930611
64,0.5,0.048828125,4,0.0625,0.13396688005297458,0.1339745962155571,0.1339745962155613,0.0012038183319507774,2.1434700808475933
128,0.5,0.01220703125,4,0.03125,0.1339670577386859,0.1339745962155687,0.13397459621556151,0.00030113594870690195,4.2869458476379485
256,0.5,0.0030517578125,4,0.015625,0.13396710139659254,0.13397459621556135,0.1339745962155613,7.529532594894518e-05,8.573894489381923
