t,sharp_tail,regularized_tail,crossing_indicator
0.55,0.000526601592039959,0.000526601592039959,0.0
0.55018,0.0005263937646049064,0.0005263937646049064,0.0
0.5503600000000001,0.0005261874558629659,0.0005261874558629659,0.0
0.55054,0.0005259826645185942,0.0005259826645185942,0.0
0.5507200000000001,0.0005257793892766952,0.0005257793892766952,0.0
0.5509000000000001,0.0005255776288425521,0.0005255776288425521,0.0
0.55108,0.0005253773819218599,0.0005253773819218599,0.0
0.5512600000000001,0.0005251786472207694,0.0005251786472207694,0.0
0.55144,0.0005249814234458008,0.0005249814234458008,0.0
0.55162,0.0005247857093039031,0.0005247857093039031,0.0
0.5518000000000001,0.0005245915035024227,0.0005245915035024227,0.0
0.55198,0.0005243988047491137,0.0005243988047491137,0.0
0.5521600000000001,0.0005242076117521645,0.0005242076117521645,0.0
0.55234,0.0005240179232200991,0.0005240179232200991,0.0
0.55252,0.0005238297378619055,0.0005238297378619055,0.0
0.5527000000000001,0.0005236430543869508,0.0005236430543869508,0.0
0.55288,0.0005234578715050047,0.0005234578715050047,0.0
0.55306,0.000523274187926214,0.000523274187926214,0.0
0.5532400000000001,0.0005230920023611314,0.0005230920023611314,0.0
0.55342,0.0005229113135207051,0.0005229113135207051,0.0
0.5536000000000001,0.0005227321201162914,0.0005227321201162914,0.0
0.55378,0.0005225544208596141,0.0005225544208596141,0.0
0.55396,0.0005223782144627787,0.0005223782144627787,0.0
0.5541400000000001,0.0005222034996382796,0.0005222034996382796,0.0
0.55432,0.0005220302750990197,0.0005220302750990197,0.0
0.5545,0.0005218585395582676,0.0005218585395582676,0.0
0.5546800000000001,0.0005216882917296746,0.0005216882917296746,0.0
0.55486,0.0005215195303272542,0.0005215195303272542,0.0
0.5550400000000001,0.0005213522540654262,0.0005213522540654262,0.0
0.55522,0.0005211864616589642,0.0005211864616589642,0.0
0.5554,0.0005210221518230326,0.0005210221518230326,0.0
0.5555800000000001,0.0005208593232731575,0.0005208593232731575,0.0
0.55576,0.0005206979747252466,0.0005206979747252466,0.0
0.55594,0.0005205381048955509,0.0005205381048955509,0.0
0.5561200000000001,0.000520379712500721,0.000520379712500721,0.0
0.5563,0.0005202227962577308,0.0005202227962577308,0.0
0.5564800000000001,0.0005200673548839662,0.0005200673548839662,0.0
0.55666,0.0005199133870971387,0.0005199133870971387,0.0
0.55684,0.0005197608916153458,0.0005197608916153458,0.0
0.5570200000000001,0.0005196098671570046,0.0005196098671570046,0.0
0.5572,0.0005194603124409478,0.0005194603124409478,0.0
0.5573800000000001,0.0005193122261862936,0.0005193122261862936,0.0
0.5575600000000001,0.0005191656071125406,0.0005191656071125406,0.0
0.55774,0.0005190204539395725,0.0005190204539395725,0.0
0.5579200000000001,0.0005188767653875688,0.0005188767653875688,0.0
0.5581,0.0005187345401770841,0.0005187345401770841,0.0
0.55828,0.0005185937770290196,0.0005185937770290196,0.0
0.5584600000000001,0.000518454474664586,0.000518454474664586,0.0
0.55864,0.000518316631805384,0.000518316631805384,0.0
0.5588200000000001,0.0005181802471733142,0.0005181802471733142,0.0
0.559,0.0005180453194906473,0.0005180453194906473,0.0
0.55918,0.000517911847479938,0.000517911847479938,0.0
