L,N,samples,E,eta,mean_eigenvalue_count,wegner_theorem_bound,count_to_bound_ratio,mean_drift_shell,drift_shell_second_moment,mean_drift_shell_over_eta
6,36,700,0.85,0.025,0.26142857142857145,2.7,0.09682539682539683,0.00039106209871732746,3.0533503583731608e-06,0.0156424839486931
6,36,700,0.85,0.05,0.6157142857142858,5.4,0.11402116402116402,0.0008411400109838138,6.460310488002156e-06,0.016822800219676276
6,36,700,0.85,0.1,1.4542857142857142,10.8,0.13465608465608464,0.00211888570438403,1.7652513887327592e-05,0.021188857043840298
6,36,700,0.85,0.2,3.0614285714285714,21.6,0.1417328042328042,0.00406776348181319,3.7734089607226954e-05,0.02033881740906595
6,36,700,0.85,0.4,3.6914285714285713,43.2,0.08544973544973544,0.0047200273482582815,4.544907895934357e-05,0.011800068370645704
