L,N,samples,cutoff_r,relative_log_eigenvalue_width,moving_shell_eta,r_pi_kde,centered_tail_variance,moving_shell_second_moment,nominal_variance_scale_Ninv_r,r_pi_to_nominal_ratio,variance_to_nominal_ratio
4,16,12000,1.9102052269645151,0.09719642172872127,0.10207682419750896,0.0003973051660988953,5.035596132398969e-05,3.714662307525924e-05,0.1193878266852822,0.0033278532420749226,0.00042178472229612533
5,25,9000,1.3218426322266263,0.07784515618915927,0.08095526647778528,0.00020077860758466182,2.2797500289706206e-05,1.6190332902134105e-05,0.05287370528906506,0.00379732433138529,0.0004311689556287067
6,36,6000,0.9578340637425437,0.0651832174349676,0.06735456443596921,0.0001201247692037958,1.1070723322324988e-05,7.75476360318269e-06,0.026606501770626213,0.004514865209992187,0.0004160909020571488
8,64,2500,0.5618030430899512,0.04871272416211499,0.04991869114063707,4.74947162580071e-05,3.5010013380645647e-06,2.2485301435876197e-06,0.008778172548280488,0.005410547126612429,0.0003988303167668262
10,100,1100,0.3669443706477952,0.03922269200734049,0.0400020580102578,2.8782560381816813e-05,1.2330407253039147e-06,1.1216784751416334e-06,0.003669443706477952,0.007843848464279405,0.0003360293341268958
