sample,components,mean_threshold,variance_threshold,variance_to_mean_squared
0,5,1.2113287661170653,4.5839702238878415,3.124048203577177
1,8,0.5734492766586786,0.7435799422120288,2.2611930805191376
2,8,0.9131511353406889,1.1804003790102287,1.4156112763277287
3,6,1.3797539863525983,3.9851874734214014,2.0933673273767233
4,2,1.1697782378432333,1.8146406670449382,1.326122257112192
5,4,1.8764893889243055,18.21451276167257,5.1727957743541655
6,3,0.8328419894763714,1.6848851752972762,2.4290982619905117
7,4,2.2035120099219134,14.906854397691964,3.0701186913322647
8,4,0.4560595798146404,0.5133568605572556,2.468176453369576
9,6,1.5492056202358195,4.762138090932629,1.9841927437157612
10,3,2.223563636899603,9.542617660040845,1.93004927610808
11,7,1.6781052580107894,4.758138038548095,1.6896573462521625
12,6,2.536877743218205,7.57850190292216,1.177563369079484
13,4,0.7468590033259017,0.7259754175896255,1.30150150220895
14,7,2.9429535819785206,18.961610225132176,2.189315695407292
15,6,1.5445785120356703,11.443407334955328,4.796620727120539
16,8,0.9901875924433399,2.6021262704310626,2.653954097340447
17,6,2.540232105405739,16.66681494970231,2.582889413071316
18,6,1.8338581340878195,11.434237324229542,3.3999750505069697
19,5,1.4911333406793783,7.768602988693958,3.4938959385696142
20,8,3.1069273782187192,18.659673007549195,1.9330443788196279
21,4,1.4093931126755839,4.800522681033453,2.4167083141303403
22,5,1.5489160867252036,4.03387808520201,1.6813843003385025
23,3,0.8653583072155623,0.7808895721851794,1.0427919961058536
24,2,0.3376519530188533,0.11427697264223617,1.0023518462388592
25,3,0.5519053411192093,0.5452910368686339,1.7901901576414179
26,7,2.113235044058237,10.730566626871587,2.402852140894046
27,3,1.0369113879813405,1.1684443276038563,1.0867377069343167
28,2,0.3876049242060775,0.2415071070742056,1.607501341971927
29,5,4.76733721772366,32.8600101678813,1.4458257252812223
30,5,1.1228375543044486,1.4609095349269994,1.1587492457354482
31,8,0.9517698483199933,2.02467394116378,2.235070407160028
32,6,1.0287517521862684,3.1358534686971637,2.963020014567319
33,4,3.380396636422712,24.332217363644126,2.1293466345694343
34,2,2.965465775480482,8.996781283099502,1.0230605311822512
35,3,3.9337721999767474,18.442987991912872,1.1918260394323867
36,7,0.34095990987935665,0.35444447328858597,3.048888721840526
37,3,0.18613833302064622,0.034805468777913795,1.0045599207411005
38,6,0.3259463596432495,0.6200640695739394,5.836389888933462
39,4,0.8350877273603496,1.5137564365921115,2.1706599849610284
40,2,0.8990699611011257,1.0592742057124145,1.3104529162270289
41,7,1.0188953891491044,1.4904157616795644,1.4356488946356274
42,2,0.2895221737227276,0.0839391913179535,1.0013850866401905
43,5,0.5559709622416436,0.6715203976186576,2.1724760138247365
