t,noise_energy,sqrt_t_times_energy,small_time_limit
1e-07,123.30655732533646,0.03899295715821831,0.038992961057514354
1.1674193588234575e-07,114.12287920326727,0.038992956505400675,0.038992961057514354
1.3628679593557754e-07,105.62318666293693,0.03899295574328875,0.038992961057514354
1.5910384392721534e-07,97.75653753405172,0.038992954853584526,0.038992961057514354
1.857409074638572e-07,90.47578373711761,0.03899295381492661,0.038992961057514354
2.168375310987433e-07,83.7372887055139,0.03899295260237724,0.038992961057514354
2.5314033152415694e-07,77.50066585351465,0.03899295118682368,0.038992961057514354
2.9552092352028877e-07,71.72853652278879,0.038992949534279064,0.038992961057514354
3.4499684705497157e-07,66.38630595665191,0.03899294760506651,0.038992961057514354
4.0275599798502936e-07,61.441955959391926,0.03899294535286646,0.038992961057514354
4.7018514892998567e-07,56.865852997988895,0.03899294272360459,0.038992961057514354
5.489032450921558e-07,52.630570596104434,0.03899293965415346,0.038992961057514354
6.408002744415996e-07,48.710724955873374,0.03899293607081687,0.038992961057514354
7.480826455225093e-07,45.08282282231233,0.03899293188756053,0.038992961057514354
8.733261623828438e-07,41.72512067853296,0.03899292700394626,0.038992961057514354
1.0195378685327302e-06,38.61749442785854,0.03899292130272071,0.038992961057514354
1.1902282447787145e-06,35.741318781795364,0.038992914646999964,0.038992961057514354
1.389495494373136e-06,33.079355630981155,0.038992906876983195,0.038992961057514354
1.622123939129173e-06,30.615650730071074,0.03899289780611586,0.038992961057514354
1.8936988889503603e-06,28.33543807735167,0.03899288721661063,0.038992961057514354
2.2107407427431232e-06,26.22505141598969,0.038992874854218436,0.038992961057514354
2.580861540418077e-06,24.27184232650672,0.038992860422124104,0.038992961057514354
3.012947724726992e-06,22.46410441957386,0.03899284357382005,0.038992961057514354
3.51737350096938e-06,20.791003174782038,0.03899282390478681,0.038992961057514354
4.106249917244294e-06,19.24251100488347,0.03899280094278081,0.038992961057514354
4.793715645558219e-06,17.80934715631691,0.038992774136496204,0.038992961057514354
5.596276445319553e-06,16.482922085815915,0.03899274284232839,0.038992961057514354
6.53320145959377e-06,15.255285979725953,0.03899270630892165,0.038992961057514354
7.626985859023451e-06,14.119081107485659,0.03899266365912981,0.038992961057514354
8.903890941296736e-06,13.067497723706728,0.038992613868956846,0.038992961057514354
1.0394574653722626e-05,12.09423325455534,0.03899255574297186,0.038992961057514354
1.213482767749143e-05,11.193454523822506,0.03899248788560828,0.038992961057514354
1.4166432746690193e-05,10.359762792288302,0.03899240866765819,0.038992961057514354
1.653816783395673e-05,9.588161400846579,0.03899231618715758,0.038992961057514354
1.9306977288832496e-05,8.874025823462063,0.03899220822372334,0.038992961057514354
2.2539339047347935e-05,8.213075950474698,0.038992082185246246,0.038992961057514354
2.6312860738959445e-05,7.601350436133847,0.03899193504565993,0.038992961057514354
3.0718143012686965e-05,7.035182956616337,0.038991763272292604,0.038992961057514354
3.586095482011829e-05,6.51118023623299,0.0389915627410574,0.038992961057514354
4.186477288289947e-05,6.02620171012559,0.03899132863744636,0.038992961057514354
4.8873746316244174e-05,5.577340701564446,0.03899105534095165,0.038992961057514354
5.70561575878102e-05,5.161907001034386,0.038990736290140965,0.038992961057514354
6.660846290809153e-05,4.777410742698491,0.03899036382514926,0.038992961057514354
7.776000906038044e-05,4.421547481604561,0.03898992900380822,0.038992961057514354
9.077853991937558e-05,4.092184382196045,0.03898942138700244,0.038992961057514354
0.00010597662486760708,3.7873474353494347,0.03898882878810423,0.038992961057514354
0.00012371916345321594,3.5052096273247964,0.038988136980477914,0.038992961057514354
0.00014443214647272805,3.2440799897211505,0.03898732935604078,0.038992961057514354
0.00016861288382868806,3.002393464808833,0.038986386526696205,0.038992961057514354
0.0001968419447286611,2.778701525497776,0.03898528585908706,0.038992961057514354
0.00022979709690469627,2.571663493723699,0.03898400093152411,0.038992961057514354
0.00026826957952797245,2.3800385052201025,0.03898250090008362,0.038992961057514354
0.00031318310052438447,2.2026780725181347,0.03898074975870005,0.038992961057514354
0.0003656160144085194,2.03851920160202,0.038978705475551254,0.038992961057514354
0.00042682721311638214,1.8865780209661323,0.03897631898508617,0.038992961057514354
0.0004982863514647301,1.7459438848911055,0.03897353301160926,0.038992961057514354
0.0005817091329374357,1.6157739155988147,0.03897028069633493,0.038992961057514354
0.0006790985029955707,1.495287951576818,0.03896648399516296,0.038992961057514354
0.0007927927389450598,1.3837638717976264,0.038962051809000656,0.038992961057514354
0.0009255215909791344,1.2805332678116497,0.0389568778021424,0.038992961057514354
0.0010804718223181285,1.1849774377783242,0.038950837856875274,0.038992961057514354
0.0012613637220374424,1.0965236784303736,0.03894378710394479,0.038992961057514354
0.0014725404276241208,1.0146418527529393,0.03893555645860636,0.038992961057514354
0.0017190722018585747,0.9388412128132981,0.03892594858049224,0.038992961057514354
0.0020068781676649667,0.8686674587079815,0.038914733162203306,0.038992961057514354
0.0023428684237322304,0.8037000160116708,0.038901641436122236,0.038992961057514354
0.0027351099530412105,0.7435495154249276,0.03888635977114004,0.038992961057514354
0.003193020307691027,0.6878554595335855,0.03886852221046251,0.038992961057514354
0.003727593720314938,0.6362840627191507,0.03884770177806145,0.038992961057514354
