case,theta_deg,V_meV,psi_deg,w_meV,mstar,Vz_meV,profile,shell,nk,nwin,nactive,n_kpoints,aM_A,sigma1_mean,sigma2_mean,sigma_remote1_mean,sigma1_cv,sigma2_cv,gap12_rel_min,gap12_rel_mean,gap2R_rel_min,gap2R_rel_mean,source_leak12_mean,source_leakAR_mean,energy_source_leak12_mean,energy_source_leakAR_mean,kinetic_mix12_over_gapout,kinetic_mixAR_over_gapout,block1_diag_bandwidth_meV,block2_diag_bandwidth_meV,ambient_gap_out_min_meV,active_bandwidth_over_gapout,energy_top_bandwidth_meV,energy_second_bandwidth_meV,metric_block1_x_aM2,metric_block1_y_aM2,metric_block2_x_aM2,metric_block2_y_aM2,gamma_1toR_x_aM2,gamma_1toR_y_aM2,gamma_2toR_x_aM2,gamma_2toR_y_aM2,Gamma_x_aM2,Gamma_y_aM2,one_pair_hopping_proxy_x_meV_aM2,one_pair_hopping_proxy_y_meV_aM2,screen_score,qgn_error_max,control_error_max
published_3p65,3.65,9.0,128.0,18.0,0.45,0.0,symmetric,4,12,4,2,150,52.07732626211041,0.6738416935529465,0.6591454995166978,0.48346157459388717,0.03844128449386895,0.057108831353835154,0.0019275261821945489,0.04603764586522755,0.0412015779708743,0.5954340742449115,1.062570026669123,0.04200675155913357,0.4280681775228669,0.39079679364308106,13.671112316947676,14.204738628060618,82.97092276327808,67.82843128299409,1.1923727197924592,69.58472077230998,34.00892585950355,27.328938332441485,41.345283533914596,7.5172603124755,54.99590531351523,10.552539598879127,2.46932936189938,0.16603052046957614,23.16740267869794,3.3209208252947535,12.81836602029866,1.7434756728821648,51.27346408119464,6.973902691528659,-7.723774048018408,1.062570026669123,69.58472077230998
best_validated_2to5,2.0249742617785738,8.942875735250286,124.17739453787478,23.25844058808712,0.5035757685318687,3.4914346067966604,symmetric,4,12,4,2,150,93.85797924929228,0.5445044578731799,0.4997000769421512,0.46035485427672956,0.025912213282416396,0.023781138054003496,0.017095003335723367,0.17091782830310512,0.03563396457338806,0.16339069519535127,0.1910734920262719,0.22901953833238395,0.24835603982469967,0.20053860414568977,0.8465647857219532,3.006416771895133,15.005863442069604,18.111499371711894,3.05434564032994,5.9297478099942325,7.63632809681409,9.91038415507356,0.36197793571187087,0.3399901187960748,0.7035582838242908,0.6357421046621318,0.08448551852629965,0.06267992523157281,0.39200800699241456,0.3087483638256716,0.2382467627593571,0.18571414452862223,0.9529870510374284,0.7428565781144889,-2.9491951550586766,0.22901953833238395,5.9297478099942325
balanced_exploratory,1.2835427677189872,8.800868865081524,102.85138920929685,28.535289241798942,0.5714708424613053,23.317285681012464,symmetric,4,12,4,2,150,148.06991985259853,0.5018110752763817,0.47012143167001513,0.4481228595834651,0.0029402681235348054,0.00587350130390627,0.09719639087457166,0.13030105956097424,0.043474663382067305,0.09581160834922765,0.006242835898359416,0.08327948773438429,0.045013453326873905,0.08290091097447323,0.3358334135062466,0.8961600734712251,0.8410541621797449,4.301067696515666,3.783392840384483,1.1368282063140382,0.6562631646021302,4.757883912552302,0.025074181933600368,0.03146322494215749,0.10711446240834242,0.050367405803769624,0.004365264736551934,0.02431818363857296,0.05893701987512124,0.02215743180579379,0.031651142305836585,0.023237807722183375,0.12660456922334634,0.0929512308887335,-0.9312239765340449,0.08327948773438429,1.1368282063140382
deep_control_small_gap,1.2053778262930535,14.727734931059292,127.0012352190945,18.37307309597066,0.6514710306404935,33.83527386987681,symmetric,4,12,4,2,150,157.67139672070792,0.4575847439592142,0.44997954231264015,0.4455717313555004,0.00023867724919312037,0.002690254478877328,0.022371114047078967,0.0335237404366918,0.0017464994353417831,0.01968406248530651,0.012096816540630089,0.08960443450805786,0.02116215888363282,0.01977058031456231,0.28672603326000334,0.3248846069457034,1.245919249641716,2.0980903275764007,14.243802442975998,0.14729847145633682,0.02292918855323478,0.23420801659425905,0.00977465533469885,0.01349002236224885,0.07226257882383703,0.2269357491191395,0.005633220024872958,0.0013607248529709877,0.05750679343148466,0.2024164065808931,0.03157000672817881,0.10188856571693204,0.12628002691271523,0.40755426286772817,-0.32808077383484163,0.08960443450805786,0.3248846069457034
