candidate,theta,V,psi,w,mstar,vz,eta,density_asym,active_pair,remote_gap,singular_gap_min,capture_top2,control_ratio,energy_gap34,Gamma_x_aM2,Gamma_y_aM2,t0_x_P2_meV_aM2,t0_y_P2_meV_aM2
balanced,2.0711737480196906,14.015497868832437,147.75480281472278,8.978910378844677,0.6095970039206522,-5.726330509642874,0.29118751954084376,0.27456065782160355,0-1,20.693357816760958,0.09015037553949963,0.9972075476146381,0.25258788266341275,5.783895034675304,0.003360779845315835,0.0033538781935946826,0.01344311938126334,0.01341551277437873
max_hopping,2.2855807969513804,13.20085339450338,149.30808764913382,17.650847080610927,0.6984796553180537,-0.7837588646244242,0.3879556759227445,0.10927877619375825,0-1,12.396653155771693,0.12807924088480394,0.9705375355118413,0.9477888842242411,8.545092869639973,0.004014350975908172,0.00401282716390584,0.016057403903632687,0.01605130865562336
most_controlled,2.012049592666495,13.993781518700583,130.07772318208907,9.839545951526041,0.6798350180504138,2.2939117094026393,0.7829188168564329,-0.15310960598951856,0-1,28.616831755800174,0.18741930624459044,0.9991667623783558,0.1321817423875677,2.6874017164920176,0.0012973963557279876,0.0012930273392676452,0.00518958542291195,0.005172109357070581
