candidate,axis,legacy_phase_aligned_Gamma,projector_difference_Gamma,absolute_difference,relative_difference
balanced,x,0.0033607974560766187,0.003360779845315835,1.7610760783687285e-08,5.240054187688542e-06
balanced,y,0.003353895747958373,0.0033538781935946826,1.7554363690528568e-08,5.234021868811661e-06
max_hopping,x,0.004014383562427538,0.004014350975908172,3.258651936656476e-08,8.117440413904883e-06
max_hopping,y,0.004012859720839042,0.00401282716390584,3.25569332014497e-08,8.113150089044834e-06
most_controlled,x,0.0012974016865191886,0.0012973963557279876,5.330791201041754e-09,4.108820927575472e-06
most_controlled,y,0.001293032648112516,0.0012930273392676452,5.308844870871923e-09,4.105731497670554e-06
