candidate,theta,V,psi,w,mstar,vz,eta,density_asym,active_pair,remote_index,remote_gap,singular_gap_min,capture_top2,block_width1,block_width2,energy_mix12_max,energy_mix_ar_max,energy_var1_rms,energy_var2_rms,interaction_leak12,interaction_leak_ar,control_ratio,energy_gap34,energy_bw_top,energy_bw_second,energy_bw_third,Gamma_x_aM2,Gamma_y_aM2,ideal_gamma_x_aM2,ideal_gamma_y_aM2,t0_x_P2_meV_aM2,t0_y_P2_meV_aM2,chern_block1_approx,chern_block2_approx,chern_remote_approx,energybasis_leak12,interactionbasis_leak12
balanced,2.0711737480196906,14.015497868832437,147.75480281472278,8.978910378844677,0.6095970039206522,-5.726330509642874,0.29118751954084376,0.27456065782160355,0-1,2,20.653578813945018,0.09012119931682352,0.9972044607914388,1.7466786986400074,1.54382453388585,2.611988900232727,2.612332206169433,2.1698387768358525,1.877886265047411,0.013134237580592926,0.06373208587217563,0.25296654199277285,5.784056215732667,1.3491635297676048,2.780279745799298,6.674535320933417,0.0033557469524486887,0.0033556933668252,0.016990464276288413,0.016990224892238386,0.013422987809794755,0.0134227734673008,-9.979138542953987e-06,0.0065969314058883285,0.9889510577794793,0.13202501555512164,0.013134237580592926
max_hopping,2.2855807969513804,13.20085339450338,149.30808764913382,17.650847080610927,0.6984796553180537,-0.7837588646244242,0.3879556759227445,0.10927877619375825,0-1,2,12.3883536444737,0.1280748694539024,0.9705321299252748,4.753589264744715,4.983532918828292,5.873202581953005,3.806835887440223,4.580774545415652,4.175221316303227,0.026135745651301535,0.07282310727593132,0.9481812919625477,8.540714890250811,1.292215887118985,7.222909700677661,7.071168082144927,0.004012663842407643,0.004012655357713057,0.026585058399713354,0.02658500041190539,0.016050655369630573,0.016050621430852226,-0.00012232910697720245,0.00010120319458743616,1.0003213666397999,0.5163031708015541,0.026135745651301535
most_controlled,2.012049592666495,13.993781518700583,130.07772318208907,9.839545951526041,0.6798350180504138,2.2939117094026393,0.7829188168564329,-0.15310960598951856,0-1,2,28.632421195737006,0.1874533003250087,0.9991706052160222,0.6521871041536755,0.686961660277241,1.8864402297717544,1.5313963607943575,1.3782417385121997,1.4757152460460456,0.013177881966245213,0.07228277324021368,0.1317695221703864,2.681259575985066,0.9467451233359014,1.7465405036778492,4.085238661736373,0.0012931137227481053,0.001293058771170257,0.013509022671973217,0.013508502726378813,0.005172454890992421,0.005172235084681028,-7.793889219091387e-05,-0.0007366897207685416,1.0134357783011416,0.2840757431674074,0.013177881966245213
